project_id,num_polygons,num_polygons_with_images,num_polygons_no_images,total_project_area_ha,total_overlap_area_ha,total_percent_area_covered
146b6912-62a1-4b58-b027-466dc3295731,1,1,0,69.6801219108226,44.21304574119251,63.45144716850073
3a860077-df4c-4e95-8fec-41520c551243,13,13,0,81.46216537880214,81.46216537880214,100.0
529e1bae-2187-473f-a2a3-17e577720aba,2,1,1,71.64527119957818,70.16161926057534,97.92916976352855
